datetime,DE_DA_price,aFRR_capacity_down_price,aFRR_energy_down_price,aFRR_energy_down_quantity,coal_price,natural_gas_price,biomass_price,co2_price,hydrogen_price,iron_ore_price,lime_price,P100000120423_bf_bof_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120426_bf_bof_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120428_bf_bof_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120425_bf_bof_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120427_bf_bof_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120422_bf_bof_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120432_bf_bof_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120424_bf_bof_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120421_bf_bof_hybrid_hydrogen_natural_gas_electrolyser_steel_demand
2030-04-27 21:45:00,94.602,11.653,0.0,2.198,54.20093644526874,52.70125735556587,63.18040485254004,142.742838456398,77.50181957778729,225.0,100.0,37.201544837814,101.2509121918965,32.661584578031,58.790852240456,26.12926766242475,120.2803571884035,71.30023912353225,148.91853747135676,257.7436225465775
2030-04-27 22:00:00,94.602,11.653,0.0,0.461,54.20093644526874,52.70125735556587,63.18040485254004,142.742838456398,77.50181957778729,225.0,100.0,36.5017192913935,99.34620701744275,32.04716355401375,57.68489439722475,25.637730843211,118.01767516646075,69.95895802829625,146.11712163466575,252.8950182138425
2030-04-27 22:15:00,94.602,11.653,0.0,0.461,54.20093644526874,52.70125735556587,63.18040485254004,142.742838456398,77.50181957778729,225.0,100.0,36.5017192913935,99.34620701744275,32.04716355401375,57.68489439722475,25.637730843211,118.01767516646075,69.95895802829625,146.11712163466575,252.8950182138425
2030-04-27 22:30:00,94.602,11.653,0.0,0.461,54.20093644526874,52.70125735556587,63.18040485254004,142.742838456398,77.50181957778729,225.0,100.0,36.5017192913935,99.34620701744275,32.04716355401375,57.68489439722475,25.637730843211,118.01767516646075,69.95895802829625,146.11712163466575,252.8950182138425
2030-04-27 22:45:00,94.602,11.653,0.0,0.461,54.20093644526874,52.70125735556587,63.18040485254004,142.742838456398,77.50181957778729,225.0,100.0,36.5017192913935,99.34620701744275,32.04716355401375,57.68489439722475,25.637730843211,118.01767516646075,69.95895802829625,146.11712163466575,252.8950182138425
2030-04-27 23:00:00,94.602,11.653,0.0,0.252,54.20093644526874,52.70125735556587,63.18040485254004,142.742838456398,77.50181957778729,225.0,100.0,36.5017192913935,99.34620701744275,32.04716355401375,57.68489439722475,25.637730843211,118.01767516646075,69.95895802829625,146.11712163466575,252.8950182138425
2030-04-27 23:15:00,94.602,11.653,0.0,0.252,54.20093644526874,52.70125735556587,63.18040485254004,142.742838456398,77.50181957778729,225.0,100.0,36.5017192913935,99.34620701744275,32.04716355401375,57.68489439722475,25.637730843211,118.01767516646075,69.95895802829625,146.11712163466575,252.8950182138425
2030-04-27 23:30:00,94.602,11.653,0.0,0.252,54.20093644526874,52.70125735556587,63.18040485254004,142.742838456398,77.50181957778729,225.0,100.0,36.5017192913935,99.34620701744275,32.04716355401375,57.68489439722475,25.637730843211,118.01767516646075,69.95895802829625,146.11712163466575,252.8950182138425
2030-04-27 23:45:00,94.602,11.653,0.0,0.252,54.20093644526874,52.70125735556587,63.18040485254004,142.742838456398,77.50181957778729,225.0,100.0,36.5017192913935,99.34620701744275,32.04716355401375,57.68489439722475,25.637730843211,118.01767516646075,69.95895802829625,146.11712163466575,252.8950182138425
2030-04-28 00:00:00,94.602,53.562,0.0,0.0,54.200936468874026,52.70125757079781,63.18040492016972,142.742838456398,77.58113655806548,225.0,100.0,36.219249164519,98.5774121155725,31.79916519857175,57.23849735742925,25.43933215885725,117.10439030413475,69.41757761844475,144.98638799559524,250.937979223145
2030-04-28 00:15:00,94.602,53.562,0.0,0.0,54.200936468874026,52.70125757079781,63.18040492016972,142.742838456398,77.58113655806548,225.0,100.0,36.219249164519,98.5774121155725,31.79916519857175,57.23849735742925,25.43933215885725,117.10439030413475,69.41757761844475,144.98638799559524,250.937979223145
2030-04-28 00:30:00,94.602,53.562,0.0,0.0,54.200936468874026,52.70125757079781,63.18040492016972,142.742838456398,77.58113655806548,225.0,100.0,36.219249164519,98.5774121155725,31.79916519857175,57.23849735742925,25.43933215885725,117.10439030413475,69.41757761844475,144.98638799559524,250.937979223145
2030-04-28 00:45:00,94.602,53.562,0.0,0.0,54.200936468874026,52.70125757079781,63.18040492016972,142.742838456398,77.58113655806548,225.0,100.0,36.219249164519,98.5774121155725,31.79916519857175,57.23849735742925,25.43933215885725,117.10439030413475,69.41757761844475,144.98638799559524,250.937979223145
2030-04-28 01:00:00,94.602,53.562,0.0,0.003,54.200936468874026,52.70125757079781,63.18040492016972,142.742838456398,77.58113655806548,225.0,100.0,36.219249164519,98.5774121155725,31.79916519857175,57.23849735742925,25.43933215885725,117.10439030413475,69.41757761844475,144.98638799559524,250.937979223145
2030-04-28 01:15:00,94.602,53.562,0.0,0.003,54.200936468874026,52.70125757079781,63.18040492016972,142.742838456398,77.58113655806548,225.0,100.0,36.219249164519,98.5774121155725,31.79916519857175,57.23849735742925,25.43933215885725,117.10439030413475,69.41757761844475,144.98638799559524,250.937979223145
2030-04-28 01:30:00,94.602,53.562,0.0,0.003,54.200936468874026,52.70125757079781,63.18040492016972,142.742838456398,77.58113655806548,225.0,100.0,36.219249164519,98.5774121155725,31.79916519857175,57.23849735742925,25.43933215885725,117.10439030413475,69.41757761844475,144.98638799559524,250.937979223145
