block_id,block_start,block_end,block_duration_h,capacity_price_input_unit,capacity_price_raw,capacity_price_EUR_per_MW_h,missing_capacity_price_flag,price_inconsistency_flag,number_of_timesteps,capacity_pricing_rule,opportunity_cost_EUR_per_MW_h,capacity_bid_price_EUR_per_MW_h,capacity_clearing_price_EUR_per_MW_h,capacity_settlement_price_EUR_per_MW_h,activation_expected,capacity_profitable,activation_profitable,technically_feasible,bid_eligible,activation_steps,price_fail_steps,missing_price_steps,min_price_margin_EUR_per_MWh,peak_activation_MW,technical_capacity_MW,compliant_capacity_MW,bid_increment_MW,reserved_capacity_MW,capacity_revenue_EUR,capacity_opportunity_cost_EUR,capacity_market_surplus_EUR,capacity_net_value_EUR,charge_headroom_MW,storage_headroom_MW,activated_energy_MWh,activation_cost_EUR
2025-05-13_08:00_12:00,2025-05-13 08:00:00+02:00,2025-05-13 12:00:00+02:00,4.0,EUR_per_MW_per_h,149.53,149.53,False,False,16,pay_as_bid,21.470482352941183,149.53,149.53,149.53,True,True,True,True,True,16,0,0,7.230964705882357,539.816,10.0,10.0,1.0,10.0,5981.2,858.8192941176474,0.0,5122.380705882352,10.0,190.99615338919412,40.0,167.60000000000002
2025-05-13_12:00_16:00,2025-05-13 12:00:00+02:00,2025-05-13 16:00:00+02:00,4.0,EUR_per_MW_per_h,240.0,240.0,False,False,16,pay_as_bid,58.70596470588236,240.0,240.0,240.0,True,True,False,True,False,14,1,0,-14.749035294117633,716.308,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,184.02843924251056,3.933,77.63121
2025-05-13_16:00_20:00,2025-05-13 16:00:00+02:00,2025-05-13 20:00:00+02:00,4.0,EUR_per_MW_per_h,99.41,99.41,False,False,16,pay_as_bid,12.51524117647059,99.41,99.41,99.41,True,True,False,True,False,10,3,0,-35.50903529411765,91.884,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,200.59207808844414,17.5,449.125
2025-05-13_20:00_00:00,2025-05-13 20:00:00+02:00,2025-05-14 00:00:00+02:00,4.0,EUR_per_MW_per_h,10.64,10.64,False,False,16,pay_as_bid,0.0,10.64,10.64,10.64,True,True,False,True,False,9,9,2,-36.089035294117636,69.428,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,204.08163265306123,0.0,0.0
2025-05-14_00:00_04:00,2025-05-14 00:00:00+02:00,2025-05-14 04:00:00+02:00,4.0,EUR_per_MW_per_h,14.26,14.26,False,False,16,pay_as_bid,0.0,14.26,14.26,14.26,True,True,False,True,False,12,12,1,-46.46903529411763,7.156,10.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,204.08163265306123,0.0,0.0
2025-05-14_04:00_08:00,2025-05-14 04:00:00+02:00,2025-05-14 08:00:00+02:00,4.0,EUR_per_MW_per_h,8.19,8.19,False,False,16,pay_as_bid,0.0,8.19,8.19,8.19,True,True,False,True,False,14,9,0,-48.24903529411763,882.488,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0337938561172,10.0,445.25
2025-05-14_08:00_12:00,2025-05-14 08:00:00+02:00,2025-05-14 12:00:00+02:00,4.0,EUR_per_MW_per_h,99.2,99.2,False,False,16,pay_as_bid,25.67298235294118,99.2,99.2,99.2,True,True,True,True,True,15,0,0,3.5109647058823583,412.004,10.0,10.0,1.0,10.0,3968.0,1026.9192941176473,0.0,2941.080705882353,10.0,194.7307840675708,35.48,-750.6744
2025-05-14_12:00_16:00,2025-05-14 12:00:00+02:00,2025-05-14 16:00:00+02:00,4.0,EUR_per_MW_per_h,195.0,195.0,False,False,16,pay_as_bid,73.78096470588235,195.0,195.0,195.0,True,True,True,True,True,15,0,0,13.630964705882363,451.552,10.0,10.0,1.0,10.0,7800.0,2951.238588235294,0.0,4848.761411764706,10.0,189.02010754094516,36.439,109.78921999999999
2025-05-14_16:00_20:00,2025-05-14 16:00:00+02:00,2025-05-14 20:00:00+02:00,4.0,EUR_per_MW_per_h,67.52,67.52,False,False,16,pay_as_bid,17.90298235294118,67.52,67.52,67.52,True,True,False,True,False,16,4,0,-25.48903529411764,471.268,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,194.88594362495274,25.883,644.58451
2025-05-14_20:00_00:00,2025-05-14 20:00:00+02:00,2025-05-15 00:00:00+02:00,4.0,EUR_per_MW_per_h,5.78,5.78,False,False,16,pay_as_bid,0.0,5.78,5.78,5.78,True,True,False,True,False,15,12,0,-30.16903529411765,163.952,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,200.59207808844414,7.5,284.4
