Hour;T2
3843;20,57318962
3844;20,57318962
3845;20,57318962
3846;20,57318962
3847;20,57318962
3848;86,72885251
3849;96,77114069
3850;106,8134289
3851;106,8134289
3852;127,8109405
3853;127,8109405
3854;84,90298193
3855;127,8109405
3856;127,8109405
3857;75,31716139
3858;32,14560879
3859;21,2161018
3860;21,2161018
3861;21,2161018
3862;21,2161018
3863;21,2161018
3864;21,2161018
3865;21,1679725
3866;21,1679725
3867;21,1679725
3868;21,1679725
3869;21,1679725
3870;21,1679725
3871;21,1679725
3872;86,53210577
3873;96,55161275
3874;106,5711197
3875;106,5711197
3876;127,520998
3877;127,520998
3878;84,71037723
3879;127,520998
3880;127,520998
3881;75,14630238
3882;32,07268561
3883;21,1679725
3884;21,1679725
3885;21,1679725
3886;21,1679725
3887;21,1679725
3888;21,1679725
3889;21,11913573
3890;21,11913573
3891;21,11913573
3892;21,11913573
3893;21,11913573
3894;21,11913573
3895;21,11913573
3896;86,33246698
3897;96,3288579
3898;106,3252488
3899;106,3252488
3900;127,2267934
3901;127,2267934
3902;84,51494136
3903;127,2267934
3904;127,2267934
3905;74,97293185
3906;31,99869051
3907;21,11913573
3908;21,11913573
3909;21,11913573
3910;21,11913573
3911;21,11913573
3912;21,11913573
3913;32,80527375
3914;19,88198409
3915;19,88198409
3916;19,88198409
3917;19,88198409
3918;19,88198409
3919;19,88198409
3920;84,69725223
3921;105,8715653
3922;116,4587218
3923;116,4587218
3924;137,6330349
3925;137,6330349
3926;95,28440876
3927;137,6330349
3928;105,8715653
3929;49,70496023
3930;32,80527375
3931;20,8760833
3932;19,88198409
3933;19,88198409
3934;19,88198409
3935;19,88198409
3936;19,88198409
3937;31,61530834
3938;28,4537775
3939;28,4537775
3940;28,4537775
3941;28,4537775
3942;28,4537775
3943;28,4537775
3944;28,4537775
3945;28,4537775
3946;28,4537775
3947;28,4537775
3948;28,4537775
3949;28,4537775
3950;28,4537775
3951;28,4537775
3952;28,4537775
3953;28,4537775
3954;28,4537775
3955;28,4537775
3956;28,4537775
3957;28,4537775
3958;28,4537775
3959;28,4537775
3960;28,4537775
3961;28,58550795
3962;28,58550795
3963;28,58550795
3964;28,58550795
3965;28,58550795
3966;28,58550795
3967;28,58550795
3968;28,58550795
3969;28,58550795
3970;28,58550795
3971;28,58550795
3972;28,58550795
3973;28,58550795
