block_id,block_start,block_end,block_duration_h,capacity_price_EUR_per_MW_h,missing_capacity_price_flag,price_inconsistency_flag,number_of_timesteps,opportunity_cost_EUR_per_MW_h,activation_expected,capacity_profitable,activation_profitable,technically_feasible,bid_eligible,activation_steps,price_fail_steps,missing_price_steps,min_price_margin_EUR_per_MWh,peak_activation_MW,technical_capacity_MW,compliant_capacity_MW,bid_increment_MW,reserved_capacity_MW,capacity_revenue_EUR,charge_headroom_MW,storage_headroom_MW,activated_energy_MWh,activation_cost_EUR
2025-04-23_00:00_04:00,2025-04-23 00:00:00+02:00,2025-04-23 04:00:00+02:00,4.0,2.67,False,False,16,0.0,True,True,False,True,False,15,15,1,-174.19764705882352,18.532,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-23_04:00_08:00,2025-04-23 04:00:00+02:00,2025-04-23 08:00:00+02:00,4.0,4.94,False,False,16,0.0,True,True,False,True,False,16,16,0,-87.93764705882353,411.5,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-23_08:00_12:00,2025-04-23 08:00:00+02:00,2025-04-23 12:00:00+02:00,4.0,16.54,False,False,16,0.0,True,True,False,True,False,13,12,0,-86.87764705882353,290.348,16.0,16.0,1.0,0.0,0.0,16.0,336.3863157894737,4.0,-48.04
2025-04-23_12:00_16:00,2025-04-23 12:00:00+02:00,2025-04-23 16:00:00+02:00,4.0,39.8,False,False,16,0.0,True,True,False,True,False,12,12,0,-89.12764705882353,135.968,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-23_16:00_20:00,2025-04-23 16:00:00+02:00,2025-04-23 20:00:00+02:00,4.0,11.0,False,False,16,0.0,True,True,False,True,False,9,9,2,-96.73764705882354,143.292,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-23_20:00_00:00,2025-04-23 20:00:00+02:00,2025-04-24 00:00:00+02:00,4.0,1.3,False,False,16,0.0,True,True,False,True,False,15,15,1,-77.74764705882353,218.4,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-24_00:00_04:00,2025-04-24 00:00:00+02:00,2025-04-24 04:00:00+02:00,4.0,4.13,False,False,16,0.0,True,True,False,True,False,11,11,1,-86.00764705882355,19.464,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-24_04:00_08:00,2025-04-24 04:00:00+02:00,2025-04-24 08:00:00+02:00,4.0,3.75,False,False,16,0.0,True,True,False,True,False,12,12,1,-86.03764705882355,630.5,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-24_08:00_12:00,2025-04-24 08:00:00+02:00,2025-04-24 12:00:00+02:00,4.0,13.14,False,False,16,0.0,True,True,False,True,False,11,11,0,-322.1976470588235,241.452,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-24_12:00_16:00,2025-04-24 12:00:00+02:00,2025-04-24 16:00:00+02:00,4.0,30.0,False,False,16,0.0,True,True,False,True,False,11,11,6,-624.6476470588235,68.444,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
